三坊七巷不要门票，实际上进入都不看预约码的，晚上凉快些，店铺也开得蛮晚的，差不多还是老味道，最后三张是光禄坊的夜景。离得很近。	support
景色福州市中心能保留这么古老的街道，但还是很不错的，主干道上还有很多铜人像，中间夹杂着一些新业态店铺，咖啡店，海鲜店基本在这里也算是应有尽有了。性价比本身逛三坊七巷是不需要费用的，价格也很便宜，毕竟是处于市中心位置，采购成本还是比较低的。	support
在福州出差的时候酒店住的离三坊七巷很近，很喜欢那里的氛围，里面还有很多有特色的店铺，出差几天也吃了不少哈哈	support
福州的三坊七巷，这里曾经居住过林则徐，如今改造成了一个很有逼格的地方，在福州市中心，附近还能吃到锅边和花生汤等美食。	support
站在东百最高点俯瞰三坊七巷，白墙灰瓦，和身在其中完全是两种感觉，发现它竟然是那么的渺小，卞之琳的《断章》怎么说的，你站在桥上看风景，你装饰了别人的梦。愿我们能活出既是风景又能欣赏别人风景的人。东百也值得你去走走，强势回归！	support
三坊七巷为国内现存规模较大、保护较为完整的历史文化街区，有“中国城市里坊制度活化石”和“中国明清建筑博物馆”的美称。	support
真正的精华是在小巷里，青砖黛瓦，穿栏度榭，加起来涵盖了半部中国近代史，海上丝路带来的海洋文化影响了几代福州人	support
三坊七巷也是朋友推荐来打卡，很有历史文化，街道上商店很多，味道不错的。	support
三坊七巷的夜景越来越漂亮了，觉得可逛性越来越强了，值得多次去逛逛的吧	support
旅游步行街，都是百年品牌经营管理，比较推荐里面的同利肉燕，永和鱼丸等	support
三坊七巷自晋、唐形成起，清至民国走向辉煌。区域内现存古民居约有座，被国务院公布为全国重点文物保护单位	support
有时间，各街各巷，虽然商业化比较严重，尤其是有些中原文化在此得列妥善传承！	neutral
闽文化的典型代表，其中以陈、林为典型代走，民族英雄林则徐、陈宝琛等，很值得细心去品味！	support
福州老城区内核心景点，规模很大，整个街区环境整洁，商业繁华，是到福州旅游的必到景点。	support
福州的“三坊七巷”～～古街坊成了商业店铺，古街、古巷，逛逛，感觉挺好的。	support
三坊七巷自晋、唐形成起，清至民国走向辉煌。区域内现存古民居约有座，被国务院公布为全国重点文物保护单位。	support
这次有机会去了福建省省会福州市，这是一个古色古风的老建筑商业街，这个地方地处市区中部，周边配套也十分的齐全。街区内部福建当地的小吃种类齐全，有幸从这头吃到那头，也遍品尝福建小吃。相比其他周边有些步行街，总之到福州去的游客都会到这里来看一看，不错超级推荐。	support
作为中国十大历史文化名街之一的三坊七巷，景区，坊巷间整体规划整洁，白墙青瓦很是干净利落。适合闲庭漫步，品味下福州的小吃，夜景也是很美的。	support
三坊七巷算应该算是福州最有名的景点了。关于三坊七巷的历史，中国，近代历史进程有影响的大人物。其实就是一处古色商业街。	support
再次来到福州办事，福州的三坊七巷景区装扮一新，可以随意的在里面逛一逛，吃点特色小吃。	support
三坊七巷是福州必打卡地点哈，因为好吃好玩的很多，溜娃好地儿。小盆友很喜欢这家纸箱王，买了礼品回家可高兴了	support
三坊七巷，更增添了一丝宁静致远和韵味，花无百日红人无千日好，要受得住人生的大起大落和聚散离合。	support
三坊七巷在当地很有名，保留保护很好，也可以了解城市演变过程，小吃也很多。	support
三坊七巷地处福州市中心，“三坊”是：衣锦坊，光禄坊。“七巷”是：杨桥巷，安民巷，塔巷，吉庇巷。是“中国城市里制度活化石”和“中国明清建筑博物馆”。在这里，尝尝特色肉燕，猪肉做的馅，慢慢走走，体会这独特的建筑	support
鼓山景区以古刹涌泉寺为中心，其中以十八景尤著；南有罗汉台、香炉峰等多景；北有大顶峰、白云洞等景。这些景点主要由花岗岩经长期剥蚀、风化、崩塌、堆积而成，构成蟠桃林、刘海钓蟾、玉笋峰、八仙岩和喝水岩等自然景观。此外，还有历代摩崖石刻多处	support
第一次来到福州这座具有多年历史的古老城市。朋友们热情并自豪地推荐我们去逛“三坊七巷历史文化街区”，由三个坊、七条巷和一条中轴街肆组成，因此自古就被称为“三坊七巷”。果然在那老街上走一走，街道、高墙、老树都非常有看头，其中肉燕馄饨十分美味，景色独特，性价比相当高	support
三坊七巷是国家级旅游景区，三坊七巷自晋、唐形成	support
古建筑的博物馆。位于福州市中心，对面是美食街，汇聚了各种特色小吃。三坊七巷里也有些名人故居等。	support
三坊七巷的天后宫是整个景区中唯一的宗教景点，香火也稍差那么点意思，庙里好像是修整过不久。左边的墙上还贴有指导怎样行道家礼的画，蛮有意思。以后可以对照看看戏剧里的人表演得对不对。	support
来福州的必去之地，但论人文，如林则徐、沈葆桢、严复、林觉民、冰心等。有福州老字号及当地特色小吃，也十分有特色。	support
三坊七巷可谓是福州的名片景点，无论是工作日的中午还是周末的晚上都是人来人往的，有很多吃的店面，要逛也需要逛些时间。中瑞南华电影院在这里，看着三坊七巷可宽敞了。	support
三坊七街闻名于世，时间不重要了，林觉民，冰心等故居都在这里！出人才的地方呀！这些人都有民族正义感！为中国做出了巨大的贡献！这条街给人温文尔雅的感觉，路边有很多铜雕塑，有很多美术大师住在这里！值得一去	support
